
Login: dgdfgdf;Czas całkowity: 14.774s; Całkowity czas wydechu: 0.9069999999999999s; Punkty: 5; Data: 03-01-2016 01:57:44
Login: dasda;Czas całkowity: 10.341s; Całkowity czas wydechu: 0.36s; Punkty: 5; Data: 03-01-2016 02:07:13
Login: null;Czas całkowity: 10.511s; Całkowity czas wydechu: 0.328s; Punkty: 5; Data: 03-01-2016 02:12:42
Login: andrzej;Czas całkowity: 11.595s; Całkowity czas wydechu: 0.576s; Punkty: 5; Data: 03-01-2016 02:17:27
Login: Tomek;Czas całkowity: 11.709s; Całkowity czas wydechu: 2.061s; Punkty: 5; Data: 03-01-2016 02:33:39
Login: Tomek;Czas całkowity: 17.26s; Całkowity czas wydechu: 1.372s; Punkty: 5; Data: 03-01-2016 12:48:03
Login: gfj;Czas całkowity: 11.439s; Całkowity czas wydechu: 0.42200000000000004s; Punkty: 5; Data: 03-01-2016 12:56:23
Login: fsfsd;Czas całkowity: 11.96s; Całkowity czas wydechu: 0.40700000000000003s; Punkty: 5; Data: 03-01-2016 12:57:20
Login: tomek;Czas całkowity: 13.356s; Całkowity czas wydechu: 0.841s; Punkty: 5; Data: 03-01-2016 13:17:58
Login: Tomek;Czas całkowity: 55.645s; Całkowity czas wydechu: 7.908000000000001s; Punkty: 5; Data: 03-01-2016 20:50:34
Login: Tomek;Czas całkowity: 42.983s; Całkowity czas wydechu: 21.948999999999998s; Punkty: 5; Data: 03-01-2016 22:01:46
Login: Tomek;Czas całkowity: 32.216s; Całkowity czas wydechu: 20.179s; Punkty: 5; Data: 03-01-2016 22:09:43
Login: Tomek;Czas całkowity: 47.399s; Całkowity czas wydechu: 26.679s; Punkty: 5; Data: 03-01-2016 22:12:27
Login: Tomek;Czas całkowity: 36.95s; Całkowity czas wydechu: 23.500999999999998s; Punkty: 5; Data: 03-01-2016 22:14:26
Login: Tomek;Czas całkowity: 42.271s; Całkowity czas wydechu: 19.325s; Punkty: 5; Data: 03-01-2016 22:34:45
Login: Tomek;Czas całkowity: 67.761s; Całkowity czas wydechu: 33.11300000000001s; Punkty: 5; Data: 03-01-2016 22:40:40
Login: Tomek;Czas całkowity: 37.123s; Całkowity czas wydechu: 24.511s; Punkty: 5; Data: 03-01-2016 22:48:59
Login: Tomasz;Czas całkowity: 48.884s; Całkowity czas wydechu: 20.860000000000003s; Punkty: 5; Data: 05-01-2016 20:28:10
Login: Ania;Czas całkowity: 35.402s; Całkowity czas wydechu: 21.125s; Punkty: 5; Data: 05-01-2016 20:36:41
Login: Andrzej;Czas całkowity: 27.98s; Całkowity czas wydechu: 17.464s; Punkty: 5; Data: 05-01-2016 20:38:16
Login: Tomek;Czas całkowity: 26.428s; Całkowity czas wydechu: 17.291s; Punkty: 5; Data: 05-01-2016 20:42:31
Login: Piotrek;Czas całkowity: 36.576s; Całkowity czas wydechu: 21.319000000000003s; Punkty: 5; Data: 05-01-2016 20:55:13
Login: Michał;Czas całkowity: 29.626s; Całkowity czas wydechu: 18.535s; Punkty: 5; Data: 05-01-2016 20:58:45
Login: Kuba;Czas całkowity: 28.781s; Całkowity czas wydechu: 17.903s; Punkty: 5; Data: 05-01-2016 21:21:54
Login: Anita;Czas całkowity: 36.392s; Całkowity czas wydechu: 17.787s; Punkty: 5; Data: 05-01-2016 21:25:54
Login: Kuba;Czas całkowity: 26.894s; Całkowity czas wydechu: 35.32899999999999s; Punkty: 5; Data: 05-01-2016 21:26:27
Login: Ania;Czas całkowity: 30.623s; Całkowity czas wydechu: 17.819000000000003s; Punkty: 5; Data: 05-01-2016 21:40:28
Login: Tomek;Czas całkowity: 30.233s; Całkowity czas wydechu: 18.491s; Punkty: 5; Data: 05-01-2016 21:48:09
Login: Romek;Czas całkowity: 69.326s; Całkowity czas wydechu: 71.69s; Punkty: 8; Data: 05-01-2016 21:49:52
Login: Ania;Czas całkowity: 98.986s; Całkowity czas wydechu: 68.624s; Punkty: 8; Data: 05-01-2016 22:05:27
Login: Tomek;Czas całkowity: 104.273s; Całkowity czas wydechu: 70.087s; Punkty: 13; Data: 05-01-2016 22:30:48
Login: Tomasz;Czas całkowity: 67.006s; Całkowity czas wydechu: 51.836000000000006s; Punkty: 8; Data: 06-01-2016 16:00:56
Login: Tomek;Czas całkowity: 70.27s; Całkowity czas wydechu: 62.722999999999985s; Punkty: 8; Data: 07-01-2016 23:18:59
Login: null;Czas całkowity: 36.879s; Całkowity czas wydechu: 23.126s; Punkty: 4; Data: 08-01-2016 00:04:16
Login: null;Czas całkowity: 23.391s; Całkowity czas wydechu: 10.405999999999999s; Punkty: 2; Data: 08-01-2016 00:05:35
Login: null;Czas całkowity: 77.599s; Całkowity czas wydechu: 26.939s; Punkty: 3; Data: 08-01-2016 14:07:56
Login: null;Czas całkowity: 12.083s; Całkowity czas wydechu: 4.049s; Punkty: 0; Data: 08-01-2016 15:14:10
Login: null;Czas całkowity: 53.399s; Całkowity czas wydechu: 23.686999999999998s; Punkty: 5; Data: 08-01-2016 18:37:03
Login: null;Czas całkowity: 36.476s; Całkowity czas wydechu: 14.796999999999999s; Punkty: 3; Data: 08-01-2016 18:40:38
Login: null;Czas całkowity: 10.494s; Całkowity czas wydechu: 0.069s; Punkty: 0; Data: 08-01-2016 19:45:35
Login: null;Czas całkowity: 14.776s; Całkowity czas wydechu: 0.14500000000000002s; Punkty: 0; Data: 09-01-2016 19:05:20
Login: Tomek;Czas całkowity: 69.271s; Całkowity czas wydechu: 41.542s; Punkty: 10; Data: 09-01-2016 19:09:35
Login: null;Czas całkowity: 6.537s; Całkowity czas wydechu: 1.3270000000000004s; Punkty: 0; Data: 09-01-2016 19:13:50
Login: null;Czas całkowity: 13.411s; Całkowity czas wydechu: 0.136s; Punkty: 0; Data: 09-01-2016 19:20:57
Login: null;Czas całkowity: 11.798s; Całkowity czas wydechu: 0.07100000000000001s; Punkty: 0; Data: 09-01-2016 19:22:16
